channel,energy_keV,raw_counts,background_adjusted_counts,background_adjusted_unc,efficiency,final_corrected_counts,final_corrected_unc
246,121.2116606236,1588.0,1584.0416666666667,39.85075238032248,0.0009176160435075485,1726257.5974715247,43428.56978393127
247,121.7112937039,1518.0,1513.9791666666667,38.96259446393568,0.0009188247928086781,1647734.3433873951,42404.81402861824
248,122.2109269184,1535.0,1531.2083333333333,39.1800841379336,0.0009200008570078889,1664355.3336605243,42587.008304925555
249,122.71056026709999,1563.0,1559.125,39.535815777174335,0.0009211447737866611,1692594.958326384,42920.30623443661
250,123.21019374999999,1582.0,1578.2291666666667,39.77535114901914,0.0009222570709992421,1711268.1662138905,43128.26911256268
251,123.70982736709999,1517.0,1512.9375,38.949770672196095,0.0009233382668817745,1638551.7142156078,42183.64175865277
252,124.20946111839999,1582.0,1577.75,39.77547663657429,0.0009243888702560231,1706803.3278711142,43028.943679901604
253,124.70909500389999,1558.0,1553.8541666666667,39.472602796468564,0.0009254093807282667,1679099.2170879387,42654.20647174003
254,125.20872902359999,1570.0,1566.125,39.62424420940628,0.0009264002888832464,1690548.9115163453,42772.270998719534
255,125.70836317749999,1556.0,1552.1666666666667,39.44717811341023,0.0009273620764734493,1673743.9518437176,42536.97570146392
256,126.20799746559999,1623.0,1619.1666666666667,40.28746531008263,0.000928295216603726,1744236.7877220921,43399.410650287435
257,126.70763188789999,1546.0,1542.0625,39.320249633617536,0.0009292001739115622,1659558.987713629,42316.23146183342
258,127.20726644439998,1531.0,1526.6458333333333,39.12915424342258,0.0009300774047428735,1641418.0427868639,42070.857805905
259,127.7069011351,1615.0,1610.8958333333333,40.18812639912717,0.0009309273573236983,1730420.5539350146,43169.99181833381
260,128.20653596,1646.0,1642.125,40.57192045204006,0.0009317504719276674,1762408.5519405883,43543.76163405871
261,128.7061709191,1598.0,1593.9166666666667,39.976056201737116,0.0009325471810396486,1709207.5329525864,42867.59642248865
262,129.2058060124,1564.0,1560.1041666666667,39.54846600305054,0.0009333179095152741,1671567.8020974856,42374.05668513352
263,129.7054412399,1563.0,1558.5833333333333,39.53595849209791,0.0009340630747369324,1668606.0882690276,42326.86160218113
264,130.2050766016,1611.0,1607.0208333333333,40.13829716499637,0.0009347830867658969,1719137.6866832303,42938.62151899249
265,130.70471209750002,1601.0,1596.9791666666667,40.01354479874422,0.0009354783484909589,1707125.7386585053,42773.35211797362
