Efficiencies for file,,,,C1,C2,C3,C4,A,T1,DI,DL,Error
N:\EffCalCurrent\South sm vl 0.5ml 25cm.ANH,,,,-20.2569,10.2872,-1.65505,0.0866563,0.00347696,1000,1.39,700,0.00458934

 
Energy, Efficiency, MuWin, MuGe 
647,0.0658877,0.384586,0.384253
648,0.065797,0.384253,0.383921
649,0.0657066,0.383921,0.38359
650,0.0656164,0.38359,0.383259
651,0.0655264,0.383259,0.382929
652,0.0654367,0.382929,0.3826
653,0.0653472,0.3826,0.382272
654,0.0652579,0.382272,0.381945
655,0.0651689,0.381945,0.381618
656,0.06508,0.381618,0.381292
657,0.0649914,0.381292,0.380967
658,0.0649031,0.380967,0.380643
659,0.0648149,0.380643,0.380319
660,0.0647269,0.380319,0.379996
661,0.0646392,0.379996,0.379674
662,0.0645517,0.379674,0.379353
663,0.0644645,0.379353,0.379033
664,0.0643774,0.379033,0.378713
665,0.0642906,0.378713,0.378394
666,0.0642039,0.378394,0.378076
667,0.0641175,0.378076,0.377758
668,0.0640313,0.377758,0.377441
669,0.0639454,0.377441,0.377125
670,0.0638596,0.377125,0.37681
671,0.0637741,0.37681,0.376495
672,0.0636887,0.376495,0.376182
673,0.0636036,0.376182,0.375869
674,0.0635187,0.375869,0.375556
675,0.063434,0.375556,0.375245
676,0.0633496,0.375245,0.374934
677,0.0632653,0.374934,0.374623
678,0.0631813,0.374623,0.374314
679,0.0630974,0.374314,0.374005
680,0.0630138,0.374005,0.373697
681,0.0629304,0.373697,0.37339
682,0.0628471,0.37339,0.373083
683,0.0627641,0.373083,0.372777
684,0.0626813,0.372777,0.372472
685,0.0625987,0.372472,0.372167
686,0.0625163,0.372167,0.371863
687,0.0624341,0.371863,0.37156
688,0.0623522,0.37156,0.371257
689,0.0622704,0.371257,0.370955
690,0.0621888,0.370955,0.370654
691,0.0621074,0.370654,0.370353
692,0.0620263,0.370353,0.370054
693,0.0619453,0.370054,0.369754
694,0.0618645,0.369754,0.369456
695,0.061784,0.369456,0.369158
696,0.0617036,0.369158,0.368861
697,0.0616235,0.368861,0.368564
698,0.0615435,0.368564,0.368268
699,0.0614637,0.368268,0.367973
700,0.0613842,0.367973,0.367678
701,0.0613048,0.367678,0.367384
702,0.0612256,0.367384,0.367091
703,0.0611466,0.367091,0.366798
704,0.0610678,0.366798,0.366506
705,0.0609893,0.366506,0.366215
706,0.0609109,0.366215,0.365924
707,0.0608327,0.365924,0.365634
708,0.0607547,0.365634,0.365345
709,0.0606768,0.365345,0.365056
710,0.0605992,0.365056,0.364767
711,0.0605218,0.364767,0.36448
712,0.0604445,0.36448,0.364193
713,0.0603675,0.364193,0.363906
714,0.0602906,0.363906,0.363621
715,0.060214,0.363621,0.363335
716,0.0601375,0.363335,0.363051
717,0.0600612,0.363051,0.362767
718,0.0599851,0.362767,0.362483
719,0.0599092,0.362483,0.362201
720,0.0598334,0.362201,0.361919
721,0.0597579,0.361919,0.361637
722,0.0596826,0.361637,0.361356
723,0.0596074,0.361356,0.361076
724,0.0595324,0.361076,0.360796
725,0.0594576,0.360796,0.360517
726,0.059383,0.360517,0.360238
727,0.0593085,0.360238,0.35996
728,0.0592343,0.35996,0.359683
729,0.0591602,0.359683,0.359406
730,0.0590863,0.359406,0.359129
731,0.0590126,0.359129,0.358854
732,0.0589391,0.358854,0.358579
733,0.0588657,0.358579,0.358304
734,0.0587926,0.358304,0.35803
735,0.0587196,0.35803,0.357757
736,0.0586468,0.357757,0.357484
737,0.0585742,0.357484,0.357211
738,0.0585017,0.357211,0.35694
739,0.0584294,0.35694,0.356668
740,0.0583573,0.356668,0.356398
741,0.0582854,0.356398,0.356128
742,0.0582137,0.356128,0.355858
743,0.0581421,0.355858,0.355589
744,0.0580707,0.355589,0.355321
745,0.0579995,0.355321,0.355053
746,0.0579284,0.355053,0.354786
747,0.0578576,0.354786,0.354519
748,0.0577869,0.354519,0.354253
749,0.0577163,0.354253,0.353987
750,0.057646,0.353987,0.353722
751,0.0575758,0.353722,0.353457
752,0.0575058,0.353457,0.353193
753,0.0574359,0.353193,0.352929
754,0.0573663,0.352929,0.352666
755,0.0572968,0.352666,0.352404
756,0.0572274,0.352404,0.352142
757,0.0571583,0.352142,0.35188
758,0.0570893,0.35188,0.351619
759,0.0570204,0.351619,0.351359
760,0.0569518,0.351359,0.351099
761,0.0568833,0.351099,0.350839
762,0.056815,0.350839,0.35058
763,0.0567468,0.35058,0.350322
764,0.0566788,0.350322,0.350064
765,0.056611,0.350064,0.349807
766,0.0565433,0.349807,0.34955
767,0.0564758,0.34955,0.349294
768,0.0564085,0.349294,0.349038
769,0.0563413,0.349038,0.348782
770,0.0562743,0.348782,0.348528
771,0.0562074,0.348528,0.348273
772,0.0561407,0.348273,0.348019
773,0.0560742,0.348019,0.347766
774,0.0560078,0.347766,0.347513
775,0.0559416,0.347513,0.347261
776,0.0558756,0.347261,0.347009
777,0.0558097,0.347009,0.346757
778,0.055744,0.346757,0.346506
779,0.0556784,0.346506,0.346256
780,0.055613,0.346256,0.346006
781,0.0555477,0.346006,0.345757
782,0.0554826,0.345757,0.345508
783,0.0554177,0.345508,0.345259
784,0.0553529,0.345259,0.345011
785,0.0552883,0.345011,0.344763
786,0.0552238,0.344763,0.344516
787,0.0551595,0.344516,0.34427
788,0.0550954,0.34427,0.344023
